Exp_ID,System,Temperature,Time,Concentration,Concentration_var,PS,PS_var,SeedMass,SeedD43,SeedGeometricStd
1,FAKE_SYS_A,285.0,0.0,22.075068,0.4356,,,0.0,0.0,1.25
1,FAKE_SYS_A,285.0,281.40000000000003,3.48283,0.01094315,,,0.0,0.0,1.25
1,FAKE_SYS_A,285.0,607.8000000000001,2.742553,0.00661878,,,0.0,0.0,1.25
1,FAKE_SYS_A,285.0,1207.8,2.252195,0.00461498,,,0.0,0.0,1.25
1,FAKE_SYS_A,285.0,1825.8,2.061059,0.00384691,,,0.0,0.0,1.25
1,FAKE_SYS_A,285.0,3606.0,1.858553,0.00299827,,,0.0,0.0,1.25
1,FAKE_SYS_A,285.0,5379.0,1.616167,0.0026585,,,0.0,0.0,1.25
1,FAKE_SYS_A,285.0,7771.8,1.688958,0.00241615,,,0.0,0.0,1.25
1,FAKE_SYS_A,285.0,10772.4,1.603835,0.00224404,,,0.0,0.0,1.25
1,FAKE_SYS_A,285.0,13177.8,1.500094,0.00215399,,,0.0,0.0,1.25
1,FAKE_SYS_A,285.0,15584.400000000001,1.512917,0.00208705,,,0.0,0.0,1.25
1,FAKE_SYS_A,285.0,18000.0,1.465559,0.0020347,1.2927729999999998e-6,1.036329e-14,0.0,0.0,1.25
2,FAKE_SYS_A,288.0,0.0,20.100007,0.36,,,0.0,0.0,1.25
2,FAKE_SYS_A,288.0,505.79999999999995,4.969409,0.01910934,,,0.0,0.0,1.25
2,FAKE_SYS_A,288.0,1101.6,3.459038,0.01106874,,,0.0,0.0,1.25
2,FAKE_SYS_A,288.0,2118.6000000000004,2.86671,0.00772664,,,0.0,0.0,1.25
2,FAKE_SYS_A,288.0,3583.7999999999997,2.681798,0.00610511,,,0.0,0.0,1.25
2,FAKE_SYS_A,288.0,5706.6,2.242077,0.00512782,,,0.0,0.0,1.25
2,FAKE_SYS_A,288.0,8412.6,2.142624,0.0045296,,,0.0,0.0,1.25
2,FAKE_SYS_A,288.0,11979.0,2.145291,0.00410744,,,0.0,0.0,1.25
2,FAKE_SYS_A,288.0,15023.4,2.149538,0.00388444,,,0.0,0.0,1.25
2,FAKE_SYS_A,288.0,18000.0,2.022008,0.00372836,1.452357e-6,1.50278e-14,0.0,0.0,1.25
3,FAKE_SYS_A,291.0,0.0,17.411771,0.2916,,,0.0,0.0,1.25
3,FAKE_SYS_A,291.0,324.0,13.713733,0.16490096,,,0.0,0.0,1.25
3,FAKE_SYS_A,291.0,629.4,9.033066,0.06996088,,,0.0,0.0,1.25
3,FAKE_SYS_A,291.0,896.4,7.210373,0.04671906,,,0.0,0.0,1.25
3,FAKE_SYS_A,291.0,1492.2,5.692268,0.02884489,,,0.0,0.0,1.25
3,FAKE_SYS_A,291.0,2402.4,4.793465,0.0200434,,,0.0,0.0,1.25
3,FAKE_SYS_A,291.0,3624.6,4.191661,0.01542391,,,0.0,0.0,1.25
3,FAKE_SYS_A,291.0,5094.599999999999,3.780834,0.01279627,,,0.0,0.0,1.25
3,FAKE_SYS_A,291.0,6886.2,3.491126,0.01106047,,,0.0,0.0,1.25
3,FAKE_SYS_A,291.0,8987.4,3.323242,0.00985622,,,0.0,0.0,1.25
3,FAKE_SYS_A,291.0,11408.4,3.288738,0.00897658,,,0.0,0.0,1.25
3,FAKE_SYS_A,291.0,14101.8,3.209759,0.00831996,,,0.0,0.0,1.25
3,FAKE_SYS_A,291.0,16815.6,2.823781,0.00784831,,,0.0,0.0,1.25
3,FAKE_SYS_A,291.0,18300.0,2.928989,0.00764224,2.52658e-6,3.2922640000000004e-14,0.0,0.0,1.25
4,FAKE_SYS_A,294.0,0.0,17.430589,0.2601,,,0.0,0.0,1.25
4,FAKE_SYS_A,294.0,606.5999999999999,16.84467,0.25619619,,,0.0,0.0,1.25
4,FAKE_SYS_A,294.0,1485.6000000000001,14.048812,0.18446599,,,0.0,0.0,1.25
4,FAKE_SYS_A,294.0,2976.6,9.421758,0.08318451,,,0.0,0.0,1.25
4,FAKE_SYS_A,294.0,5414.4,7.059156,0.04465966,,,0.0,0.0,1.25
4,FAKE_SYS_A,294.0,8409.6,5.993199,0.03127877,,,0.0,0.0,1.25
4,FAKE_SYS_A,294.0,12028.2,5.03884,0.02464381,,,0.0,0.0,1.25
4,FAKE_SYS_A,294.0,15602.400000000001,4.586802,0.02121166,,,0.0,0.0,1.25
4,FAKE_SYS_A,294.0,18000.0,4.526651,0.01967594,4.471778999999999e-6,1.1321622000000001e-13,0.0,0.0,1.25
5,FAKE_SYS_A,297.0,0.0,14.694737,0.2025,,,0.0,0.0,1.25
5,FAKE_SYS_A,297.0,356.40000000000003,15.088995,0.2025,,,0.0,0.0,1.25
5,FAKE_SYS_A,297.0,853.2,15.91218,0.20249991,,,0.0,0.0,1.25
5,FAKE_SYS_A,297.0,1671.6,15.239093,0.20249867,,,0.0,0.0,1.25
5,FAKE_SYS_A,297.0,3027.0,15.545655,0.20248574,,,0.0,0.0,1.25
5,FAKE_SYS_A,297.0,4803.0,15.517822,0.20240969,,,0.0,0.0,1.25
5,FAKE_SYS_A,297.0,7209.0,15.300818,0.20204332,,,0.0,0.0,1.25
5,FAKE_SYS_A,297.0,9879.6,15.512907,0.2009071,,,0.0,0.0,1.25
5,FAKE_SYS_A,297.0,12913.2,15.234284,0.19798525,,,0.0,0.0,1.25
5,FAKE_SYS_A,297.0,15927.0,13.859934,0.1926158,,,0.0,0.0,1.25
5,FAKE_SYS_A,297.0,18300.0,14.74901,0.18639072,8.814541e-6,5.3687406e-13,0.0,0.0,1.25
